#distance  HF  EmbCCSD  EmbCCSD(v)  EmbCCSD(1C)  EmbCCSD(1C,v)  EmbCCSD(1C,f)
0.600000  -1.53820182e+02  -1.54456200e+02  -1.54483901e+02  -1.54078986e+02  -1.54069571e+02  -1.54351420e+02
0.700000  -1.54023192e+02  -1.54660819e+02  -1.54688062e+02  -1.54283260e+02  -1.54273740e+02  -1.54558243e+02
0.800000  -1.54110921e+02  -1.54751032e+02  -1.54777423e+02  -1.54373152e+02  -1.54363447e+02  -1.54651874e+02
0.900000  -1.54139650e+02  -1.54782821e+02  -1.54808489e+02  -1.54404651e+02  -1.54394682e+02  -1.54685071e+02
1.000000  -1.54138090e+02  -1.54784675e+02  -1.54809987e+02  -1.54406261e+02  -1.54395990e+02  -1.54683237e+02
1.100000  -1.54121353e+02  -1.54771616e+02  -1.54796912e+02  -1.54393015e+02  -1.54382424e+02  -1.54666034e+02
1.200000  -1.54097542e+02  -1.54751750e+02  -1.54777149e+02  -1.54372993e+02  -1.54362099e+02  -1.54643188e+02
1.300000  -1.54071053e+02  -1.54729580e+02  -1.54754839e+02  -1.54350673e+02  -1.54339475e+02  -1.54619273e+02
1.400000  -1.54044263e+02  -1.54707538e+02  -1.54732487e+02  -1.54328494e+02  -1.54317004e+02  -1.54597186e+02
1.500000  -1.54018407e+02  -1.54686896e+02  -1.54711670e+02  -1.54307734e+02  -1.54295974e+02  -1.54577539e+02
1.600000  -1.53994082e+02  -1.54668279e+02  -1.54693001e+02  -1.54289010e+02  -1.54277008e+02  -1.54560023e+02
1.700000  -1.53971535e+02  -1.54651936e+02  -1.54676546e+02  -1.54272558e+02  -1.54260342e+02  -1.54544263e+02
1.800000  -1.53950830e+02  -1.54637889e+02  -1.54662214e+02  -1.54258394e+02  -1.54245986e+02  -1.54530459e+02
1.900000  -1.53931927e+02  -1.54626028e+02  -1.54649898e+02  -1.54246400e+02  -1.54233813e+02  -1.54518729e+02
2.000000  -1.53914729e+02  -1.54616153e+02  -1.54639533e+02  -1.54236378e+02  -1.54223615e+02  -1.54508549e+02
2.100000  -1.53899110e+02  -1.54608021e+02  -1.54631049e+02  -1.54228090e+02  -1.54215145e+02  -1.54500326e+02
2.200000  -1.53884930e+02  -1.54601378e+02  -1.54624296e+02  -1.54221285e+02  -1.54208144e+02  -1.54494073e+02
2.300000  -1.53872054e+02  -1.54595980e+02  -1.54619014e+02  -1.54215727e+02  -1.54202371e+02  -1.54489535e+02
2.400000  -1.53860353e+02  -1.54591615e+02  -1.54614900e+02  -1.54211209e+02  -1.54197608e+02  -1.54487729e+02
2.500000  -1.53849710e+02  -1.54588097e+02  -1.54611690e+02  -1.54207548e+02  -1.54193675e+02  -1.54485246e+02
2.600000  -1.53840021e+02  -1.54585258e+02  -1.54609172e+02  -1.54204577e+02  -1.54190416e+02  -1.54484128e+02
2.700000  -1.53831190e+02  -1.54582961e+02  -1.54607187e+02  -1.54202159e+02  -1.54187708e+02  -1.54482130e+02
2.800000  -1.53823132e+02  -1.54581100e+02  -1.54605609e+02  -1.54200186e+02  -1.54185440e+02  -1.54480570e+02
2.900000  -1.53815767e+02  -1.54579588e+02  -1.54604344e+02  -1.54198569e+02  -1.54183524e+02  -1.54479995e+02
3.000000  -1.53809028e+02  -1.54578356e+02  -1.54603325e+02  -1.54197238e+02  -1.54181893e+02  -1.54480539e+02
3.100000  -1.53802854e+02  -1.54577344e+02  -1.54602505e+02  -1.54196136e+02  -1.54180490e+02  -1.54481705e+02
3.200000  -1.53797190e+02  -1.54576474e+02  -1.54601892e+02  -1.54195182e+02  -1.54179319e+02  -1.54476280e+02
3.300000  -1.53791990e+02  -1.54575741e+02  -1.54601400e+02  -1.54194372e+02  -1.54178284e+02  -1.54475175e+02
